학번,입학년학기,학과코드,스냅샷년학기,그룹키,성별,국적코드,만나이,입학년도,입학학기,입학구분,과정,학년제,입학후학기수,스냅학적코드,활성여부,누적GPA,직전학기GPA,이수학기수,학사경고누적,출석수,지각수,결석수,총수업수,출석률,등록금미납,ID유예누적,당기유예대상,학적변동누적,휴학누적,비자유형,체류만료일,여권만료일,이탈정답,5종라벨,최종학적그룹,종결일,종결까지일수
201831916,20181,1301309000,20181,1301309000_20181,1,586,21,2018,1,1,1,2,0,02,0,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL,2,1,NULL,NULL,NULL,0,GRAD,07,20210219,903
201831916,20181,1301309000,20182,1301309000_20181,1,586,21,2018,1,1,1,2,1,03,1,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL,3,1,NULL,NULL,NULL,0,GRAD,07,20210219,781
201831916,20181,1301309000,20191,1301309000_20181,1,586,22,2018,1,1,1,2,2,03,1,3.25,3.25,1,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL,3,1,NULL,NULL,NULL,0,GRAD,07,20210219,538
201831916,20181,1301309000,20192,1301309000_20181,1,586,22,2018,1,1,1,2,3,03,1,2.96,2.67,2,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL,3,1,NULL,NULL,NULL,0,GRAD,07,20210219,416
201831916,20181,1301309000,20201,1301309000_20181,1,586,23,2018,1,1,1,2,4,03,1,2.32333333333333,1.05,3,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL,4,1,NULL,NULL,NULL,0,GRAD,07,20210219,172
201831916,20181,1301309000,20202,1301309000_20181,1,586,23,2018,1,1,1,2,5,03,1,2.3975,2.62,4,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL,4,1,NULL,NULL,NULL,0,GRAD,07,20210219,50
201831917,20181,1301309000,20181,1301309000_20181,1,586,21,2018,1,1,1,2,0,02,0,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL,2,1,NULL,NULL,NULL,1,DROP,08,20190109,131
201831917,20181,1301309000,20182,1301309000_20181,1,586,21,2018,1,1,1,2,1,02,0,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,1,NULL,NULL,NULL,1,DROP,08,20190109,9
201831918,20181,1301309000,20181,1301309000_20181,1,586,25,2018,1,1,1,2,0,02,0,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL,2,1,NULL,NULL,NULL,1,DROP,08,20190109,131
201831918,20181,1301309000,20182,1301309000_20181,1,586,26,2018,1,1,1,2,1,02,0,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,2,1,NULL,NULL,NULL,1,DROP,08,20190109,9
201831919,20181,1301309000,20181,1301309000_20181,1,586,19,2018,1,1,1,2,0,01,1,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL,1,0,NULL,NULL,NULL,1,DROP,04,20190329,210
201831919,20181,1301309000,20182,1301309000_20181,1,586,20,2018,1,1,1,2,1,01,1,3.44,3.44,1,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL,1,0,NULL,NULL,NULL,1,DROP,04,20190329,88
201831920,20181,1301309000,20181,1301309000_20181,1,586,22,2018,1,1,1,2,0,02,0,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL,2,1,NULL,NULL,NULL,1,DROP,08,20181207,98
